g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0,0,0.010869565,0.064343164,0.133333333,0.046428571,0,0.034412955,0.115384615,0.022222222,0,0,0.028148941,0.19079185,0.174735827,0.209745628,0,0.151837206,0.243884885,0.000855663,4.169787841,1.875061263
0.023255814,0.019230769,0.018115942,0.107238606,0.066666667,0.025,0,0.050607287,0.123076923,0.022222222,0.004898759,0.001238924,0.043253742,0.252141098,0.007111952,0.025452247,0,0.185140607,0.47927069,0.001491981,4.278023144,1.986771734
0,0,0.003623188,0.002680965,0.066666667,0,0,0.004048583,0.046153846,0,0,0,0.3764854,0.025489243,0.031121615,0,0,0.375182224,0.191721518,0,2.655848867,1.041392685
0,0,0.043478261,0.034852547,0.133333333,0.021428571,0,0.01417004,0.007692308,0,0,0,0.284874734,0.216611193,0.067513993,0.265386493,0,0.044681148,0.120932437,0,3.693402426,1.612783857
0,0,0.032608696,0.00536193,0,0.014285714,0,0,0.007692308,0,0,0,0.33109527,0.021784571,0,0.422277659,0,0.224842499,0,0,3.312255658,1.204119983
0,0.096153846,0.047101449,0.021447721,0.066666667,0.010714286,0.028037383,0.008097166,0.046153846,0,0,0.102540705,0.45784501,0.087142491,0.004904617,0.034750539,0.038928018,0.104812417,0.169076202,0,3.323074632,1.633468456
0,0,0.02173913,0,0,0.035714286,0,0.010121457,0.053846154,0,0,0,0.163555317,0,0,0.471246203,0,0.272591169,0.092607311,0,3.511372598,1.447158031
0,0,0.039855072,0.018766756,0.266666667,0.032142857,0,0.010121457,0.038461538,0,0,0,0.176407439,0.152919884,0.089365825,0.528074085,0,0.035272951,0.017959816,0,3.670752235,1.612783857
0,0,0.014492754,0,0,0.007142857,0,0.004048583,0.061538462,0.022222222,0,0,0.152369519,0,0,0.132168879,0,0.580897648,0.109044229,0.025519725,3.225986047,1.230448921
0,0,0.050724638,0.032171582,0.066666667,0.053571429,0,0.010121457,0.069230769,0,0,0,0.220374697,0.114031947,0.036216503,0.554749142,0,0.047396106,0.027231606,0,3.890093358,1.748188027
0.023255814,0,0.028985507,0.008042895,0,0,0,0.016194332,0.046153846,0,0.020782969,0,0.553396133,0.033101837,0,0,0,0.174374283,0.218344779,0,3.842460705,1.414973348
0.023255814,0,0.123188406,0.091152815,0.133333333,0.107142857,0.074766355,0.058704453,0.115384615,0,0.016098126,0,0.186970513,0.193215193,0.052246815,0.210467222,0.032423182,0.116849044,0.191729905,0,4.387617237,2.184691431
0.069767442,0,0.02173913,0.042895442,0.133333333,0.032142857,0,0.002024291,0.007692308,0.044444444,0.163469549,0,0.074373445,0.166916068,0.310249083,0.268475625,0,0.002146447,0.014012926,0.000356857,3.877258438,1.602059991
0,0,0.025362319,0.016085791,0.066666667,0.028571429,0.009345794,0.042510121,0.069230769,0,0,0,0.060649922,0.161491554,0.060041321,0.079040092,0.00541535,0.341585486,0.291776275,0,3.698540709,1.72427587
0,0,0.036231884,0.147453083,0.133333333,0.032142857,0,0.012145749,0,0,0,0,0.246929884,0.401272044,0.064215895,0.089715799,0,0,0.197866378,0,4.173473566,1.913813852
0,0.019230769,0.15942029,0.152815013,0.133333333,0.178571429,0.056074766,0.267206478,0.292307692,0.022222222,0,0.000092379,0.055238288,0.085923211,0.000709121,0.26525895,0.004541924,0.064781914,0.51358276,0.009871453,4.878282063,2.519827994
