g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0,0,0.02173913,0.018766756,0.066666667,0.010714286,0,0.018218623,0.084615385,0.022222222,0,0,0.125250538,0.105537096,0.026582312,0.048650948,0,0.321178128,0.283989473,0.088811505,3.274377251,1.579783597
0.023255814,0,0.018115942,0,0,0.014285714,0,0.012145749,0.015384615,0,0.081762448,0,0.139313026,0,0,0.547007749,0,0.014301355,0.217615422,0,3.548343959,1.255272505
0,0.019230769,0.050724638,0.00536193,0,0.025,0,0,0,0,0,0.001516815,0.680166943,0.057883467,0,0.260432775,0,0,0,0,3.807626342,1.380211242
0,0,0,0.002680965,0,0,0,0.016194332,0.023076923,0,0,0,0,0.029294729,0,0,0,0.284199562,0.686505708,0,3.08951301,1.079181246
0,0,0.032608696,0.021447721,0.066666667,0.003571429,0,0.016194332,0.046153846,0,0,0,0.067910179,0.196884826,0.021304392,0.051971414,0,0.365347379,0.29658181,0,3.58634984,1.51851394
0,0.057692308,0.043478261,0.056300268,0.133333333,0.025,0.065420561,0.028340081,0.038461538,0,0,0.002264088,0.192003897,0.097844245,0.015883873,0.119995385,0.044501638,0.069976475,0.4575304,0,4.193127382,1.851258349
0,0.019230769,0.054347826,0.032171582,0.133333333,0.032142857,0.009345794,0.04048583,0.023076923,0,0,0.00757134,0.240757166,0.140534353,0.057283815,0.092419194,0.001312535,0.056542432,0.403579165,0,4.099372936,1.799340549
0.023255814,0.038461538,0.036231884,0.008042895,0.066666667,0.014285714,0,0.002024291,0.007692308,0,0.076676155,0.017862317,0.521972809,0.054763,0.074227472,0.21623971,0,0.014567106,0.023691432,0,3.245544745,1.361727836
0.046511628,0.057692308,0.130434783,0.075067024,0.2,0.067857143,0.121495327,0.062753036,0.169230769,0.044444444,0.027805553,0.002800008,0.254960511,0.118455057,0.053045097,0.126080721,0.035201446,0.199428815,0.176833749,0.005389041,4.328014071,2.201397124
0,0.019230769,0.054347826,0.061662198,0.133333333,0.078571429,0,0.070850202,0.123076923,0.022222222,0,0.011652579,0.080645996,0.135518519,0.021667289,0.29196953,0,0.178586805,0.278274183,0.001685099,4.624632897,2.06069784
0.023255814,0,0.02173913,0.021447721,0.066666667,0.035714286,0,0.026315789,0.061538462,0,0.001730821,0,0.114442653,0.029254357,0.002059821,0.123795628,0,0.420959492,0.307757227,0,3.68963113,1.672097858
0.023255814,0,0.025362319,0.013404826,0,0.032142857,0,0.026315789,0.084615385,0,0.050525275,0,0.082179494,0.034864135,0,0.441735968,0,0.138764412,0.251930717,0,3.452070246,1.662757832
0.046511628,0,0.025362319,0.032171582,0.066666667,0.046428571,0.018691589,0.006072874,0.007692308,0,0.013139416,0,0.174777939,0.267723925,0.001461198,0.456370255,0.005687307,0.003579935,0.077260027,0,4.090563469,1.612783857
